Name,TrainSplit,Pos
001_Anomaly_5000,5000,7460
002_Anomaly_4375,4375,7100
003_Anomaly_4375,4375,5830
004_Anomaly_2500,2500,5650
005_Anomaly_4000,4000,4500
006_Anomaly_4000,4000,5700
007_Anomaly_4000,4000,6500
008_Anomaly_4000,4000,5560
009_Anomaly_4000,4000,4875
010_Anomaly_4000,4000,6040
011_Anomaly_3333,3333,3950
012_Anomaly_5000,5000,5955
013_Anomaly_5000,5000,5340
014_Anomaly_2666,2666,5675
015_Anomaly_250,250,840
016_Anomaly_1666,1666,5675
017_Anomaly_1666,1666,5675
018_Anomaly_2666,2666,5675
019_Anomaly_5000,5000,6150
020_Anomaly_5000,5000,7300
021_Anomaly_5000,5000,5975
022_Anomaly_4000,4000,6550
023_Anomaly_5000,5000,8650
024_Anomaly_3200,3200,4500
025_Anomaly_2800,2800,5600
026_Anomaly_1700,1700,5800
027_Anomaly_1200,1200,4200
028_Anomaly_1600,1600,3300
029_Anomaly_2300,2300,4500
030_Anomaly_3000,3000,4200
031_Anomaly_2700,2700,4800
032_Anomaly_1000,1000,3600
033_Anomaly_1500,1500,-1
034_Anomaly_4200,4200,4150
035_Anomaly_2500,2500,-1
036_Anomaly_2000,2000,6100
037_Anomaly_3500,3500,9300
038_Anomaly_4500,4500,13150
039_Anomaly_8000,8000,5200
040_Anomaly_3500,3500,6005
041_Anomaly_3500,3500,4800
042_Anomaly_3500,3500,5920
043_Anomaly_2700,2700,3700
044_Anomaly_1666,1666,6800
045_Anomaly_3333,3333,-1
046_Anomaly_3666,3666,5530
047_Anomaly_3083,3083,6450
048_Anomaly_3900,3900,8010
049_Anomaly_3700,3700,4650
050_Anomaly_1300,1300,10520
051_Anomaly_3511,3511,10520
052_Anomaly_4000,4000,5450
053_Anomaly_1333,1333,-1
054_Anomaly_2526,2526,5510
055_Anomaly_5000,5000,6850
056_Anomaly_1578,1578,6750
057_Anomaly_3684,3684,8950
058_Anomaly_3000,3000,8500
059_Anomaly_2500,2500,8600
060_Anomaly_4000,4000,7800
061_Anomaly_4166,4166,-1
062_Anomaly_1666,1666,5500
063_Anomaly_2500,2500,5700
064_Anomaly_1666,1666,4200
065_Anomaly_1200,1200,5750
066_Anomaly_1666,1666,7600
067_Anomaly_5000,5000,9800
068_Anomaly_2000,2000,5300
069_Anomaly_3083,3083,6100
070_Anomaly_1500,1500,-1
071_Anomaly_4375,4375,-1
072_Anomaly_2500,2500,-1
073_Anomaly_4000,4000,-1
074_Anomaly_4000,4000,-1
075_Anomaly_4000,4000,-1
076_Anomaly_5000,5000,-1
077_Anomaly_2666,2666,-1
078_Anomaly_1666,1666,-1
079_Anomaly_2666,2666,-1
080_Anomaly_5000,5000,-1
081_Anomaly_4000,4000,-1
082_Anomaly_3200,3200,-1
083_Anomaly_1700,1700,-1
084_Anomaly_1600,1600,-1
085_Anomaly_3000,3000,-1
086_Anomaly_1000,1000,-1
087_Anomaly_1500,1500,-1
088_Anomaly_4200,4200,-1
089_Anomaly_2500,2500,-1
090_Anomaly_2000,2000,-1
091_Anomaly_3500,3500,-1
092_Anomaly_4500,4500,-1
093_Anomaly_8000,8000,-1
094_Anomaly_3500,3500,-1
095_Anomaly_3500,3500,-1
096_Anomaly_3500,3500,-1
097_Anomaly_2700,2700,-1
098_Anomaly_1666,1666,-1
099_Anomaly_3333,3333,-1
100_Anomaly_3666,3666,-1
101_Anomaly_3083,3083,-1
102_Anomaly_3900,3900,-1
103_Anomaly_3700,3700,-1
104_Anomaly_1300,1300,-1
105_Anomaly_3511,3511,-1
106_Anomaly_4000,4000,-1
107_Anomaly_1333,1333,-1
108_Anomaly_2526,2526,-1
109_Anomaly_5000,5000,-1
110_Anomaly_1578,1578,-1
111_Anomaly_3684,3684,-1
112_Anomaly_3000,3000,-1
113_Anomaly_2500,2500,-1
114_Anomaly_4000,4000,-1
115_Anomaly_4166,4166,-1
116_Anomaly_1666,1666,-1
117_Anomaly_2602,2602,-1
118_Anomaly_3103,3103,-1
119_Anomaly_6282,6282,-1
120_Anomaly_1282,1282,-1
121_Anomaly_3283,3283,-1
122_Anomaly_4456,4456,-1
123_Anomaly_1179,1179,-1
124_Anomaly_1283,1283,-1
125_Anomaly_1417,1417,-1
126_Anomaly_1490,1490,-1
127_Anomaly_1572,1572,-1
128_Anomaly_2672,2672,-1
129_Anomaly_4117,4117,-1
130_Anomaly_4006,4006,-1
131_Anomaly_4274,4274,-1
132_Anomaly_5059,5059,-1
133_Anomaly_2246,2246,-1
134_Anomaly_2272,2272,-1
135_Anomaly_3272,3272,-1
136_Anomaly_3872,3872,-1
137_Anomaly_1752,1752,-1
138_Anomaly_1752,1752,-1
139_Anomaly_2101,2101,-1
140_Anomaly_2101,2101,-1
141_Anomaly_2101,2101,-1
142_Anomaly_2145,2145,-1
143_Anomaly_2145,2145,-1
144_Anomaly_2367,2367,-1
145_Anomaly_2135,2135,-1
146_Anomaly_2667,2667,-1
147_Anomaly_2777,2777,-1
148_Anomaly_3571,3571,-1
149_Anomaly_4000,4000,-1
150_Anomaly_3333,3333,-1
